"","TRB","STL","FG.","eFG.","TS.","PER","TRB.","BLK.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","NO.SHOES","REACH","WEIGHT","WINGSPAN","WING.DIFF","X3.4.SPRINT","STD.VERT","MAX.VERT"
"193",-0.161328527970714,-1.05674569229428,1.69025701451381,1.30210723443962,1.18724830048959,0.112290390327656,0.999197432975218,1.20633774546815,-1.20524085139014,0.483346903396077,-0.75267602711328,-0.0776721917019224,-0.356262149726144,-0.217622677938196,0.624942140192637,-0.423588654900882,0.67585639374038,-0.0483206268333963,-0.203773140961587,81.5,109,240,88,6.5,3.53,28.5,31.5
"194",0.115340060393696,0.367866535184529,0.386291237367355,1.40945325541568,1.18724830048959,-0.651611201207073,-0.453633445748333,-0.727240119040016,-1.81008194971674,0.905279214799053,1.05996119414577,0.64382408442832,-0.482795667781996,0.246776634792987,-0.0534779275632244,-0.0117822391182261,-0.555460922790677,-0.317877842639532,-0.778681689129074,78.75,102.5,206,81.5,2.75,3.38,28.5,36.5
"195",0.170673778066578,-1.05674569229428,1.37978897233608,0.944287164519416,1.67510715328797,1.1308258457073,0.703706406794157,0.446717870125657,0.740769638878074,1.0107622926498,-0.234779678182124,0.884322843138401,0.0233384044414128,0.595076119341373,1.22798220042007,0.245596770745934,-0.176594056165736,0.131384183704028,-0.0600460039197153,78.5,109,255.4,87.5,9,3.45,28,31
"196",0.115340060393696,3.21709099014215,-0.52958948705694,-0.451211108169376,-0.426438674151198,-0.28380673120887,-0.798372976292904,-0.796296471343879,0.00444134526307473,-0.571483875111364,-1.78846872497559,-0.558669709122084,1.92134117527919,0.478976291158577,0.19150709690417,-0.475064456873714,1.90717371027144,0.490793804778875,0.227408270164028,76.25,99.5,221.8,81.5,5.25,3.18,36.5,42
"197",-0.60399826935377,-0.771823246798521,-0.560636291274713,-0.594339136137458,-0.970588933041696,-1.44380544428013,-0.601378958838864,-0.865352823647742,-1.07375365610175,-0.571483875111364,0.801013019680188,-0.719002214928804,-0.609329185837848,-0.740071904760775,-0.656517987790657,-1.71048370422168,0.770573110396615,-1.12654949005794,-0.634954552087203,73.25,99.5,222.4,81,7.75,3.38,28,33.5
"198",-0.216662245643596,0.652788980680291,0.200010412060718,0.890614154031385,1.26230350861242,1.64009357339712,-0.97074274156519,-0.796296471343879,0.425200370185932,1.53817768190352,1.31890936861134,2.88847916572241,-1.24199677611711,1.58192465889513,1.24682720230218,2.30462884965921,-1.12376122272809,1.47917026273471,1.66467964058275,68.75,91.5,186,73.75,5,3.14,31.5,40
"199",-0.271995963316478,0.0829440896887663,-0.514066084948054,-0.469102111665387,-0.370147268059077,-1.18917158043522,-0.896869985019925,0.101436108606341,0.00444134526307473,-1.09889926436508,1.31890936861134,-1.84132975557585,-0.103195113614439,-1.37862095976615,-1.52338807436759,-1.14424988252053,-0.366027489478206,-1.1714756926923,-1.92849878546405,75.25,100,210,80.75,5.5,3.34,27.5,35.5
"200",0.779344672468281,-0.771823246798521,2.03177186090931,1.69570931135184,1.73139855938009,1.35716705801388,2.00879177242718,0.584830574733383,-0.127045850025318,1.11624537050054,0.54206484521461,0.0826603141047981,-0.609329185837848,-0.217622677938196,0.964152174070567,0.605927384555758,-0.744894356103147,0.22123658897274,-0.0600460039197153,80.75,109,219.6,85.5,4.75,3.35,28.5,32.5
"201",-0.382663398662242,0.0829440896887663,-1.0263383545413,0.103410000206938,0.155239188800715,0.253753648019273,-0.995366993746945,-0.934409175951605,-0.127045850025318,0.483346903396077,-0.75267602711328,0.964489096041761,0.276405440553117,0.827275775706964,0.719167149603173,1.06920960231125,-0.081877339509501,0.895129628488079,0.802316818331515,73.25,96,188,74.25,1,3.1,30,35.5
"202",-0.548664551680888,0.367866535184529,-0.638253301819145,-0.397538097681346,-0.539021486335439,-0.255514079670546,-1.16773675901923,-0.727240119040016,1.319313298147,-0.676966952962108,0.54206484521461,-1.03966722654225,-0.103195113614439,-0.798121818852173,-0.97688301978648,0.297072572718766,-0.934327789415617,-0.183099234736464,-0.634954552087203,77.5,104,227,82,4.5,3.21,29,35.5
